,mean,std,min,25%,50%,75%,max,count
MV.MBWH..SHZ,1.0,0.0,1.0,1.0,1.0,1.0,1.0,103.0
MV.MBLG..SHZ,2.998512739447565,1.5366723218230873,0.7559499188721288,2.047931766661823,2.7103587781933594,3.2200333656761515,8.577824444734363,75.0
MV.MBRY..BHZ,1.9685201818526974,0.82280572422491,0.3346747460632856,1.4386378040814485,1.9135439470493316,2.449589206365029,5.778506814265578,98.0
MV.MBRY..BHN,3.892794577059234,1.6586090895269021,0.9443201796496694,2.688797144066665,3.4284950615647323,4.97766869055516,8.248823826346113,65.0
MV.MBRY..BHE,3.7979047558635184,1.6291879678115067,0.9635661609807321,2.7579513393944204,3.5380558622513916,4.7420285730419405,9.334271503085143,94.0
MV.MBSS..SHZ,2.5818543135892877,1.0042617038309758,0.5681477436246254,1.8956874896663034,2.4794462457859177,3.11760165677495,5.653458921969699,81.0
MV.MBBY..BHN,1.8657988796835214,0.87451395783173,0.534483341565021,1.264390121870478,1.6281668362878803,2.2734420826307895,4.8996662373007895,75.0
MV.MBBY..BHE,1.7797640158684742,0.8012705169890265,0.7258207447128886,1.1762274496268157,1.6560908975864175,2.1434020681373194,5.340733786831562,75.0
MV.MBGB..BHZ,1.266428511150454,0.8533336934829984,0.33035103287320755,0.8835628937448149,1.1248033296676332,1.42281409353423,7.336738476474338,93.0
MV.MBGB..BHN,2.446873772750375,1.1271014093847063,0.6155737193611157,1.7243946530838492,2.3071565277468613,2.8264476535164587,6.281365357125526,90.0
MV.MBGB..BHE,2.44631821419667,1.3612309258442512,0.8103228463603128,1.553031508373075,2.241378898415813,2.7417942364404735,9.762617269021963,93.0
MV.MBMH..SHZ,2.083315825898842,1.0640602258135523,0.11074716941926506,1.45355019534072,1.9360849672203324,2.6162678597323623,5.325469321322111,88.0
MV.MBMH..SHN,3.040980433470423,1.9410383068007273,0.1449877187431833,1.9320261754086507,2.805105341397719,3.6991258035764694,9.804472464640481,69.0
MV.MBMH..SHE,0.1278695046694349,0.036886849149176906,0.10543229749002779,0.10658324174809719,0.10773418600616658,0.13908810825913845,0.17044203051211032,3.0
MV.MBBY..HHZ,,,,,,,,0.0
MV.MBBY..HHN,,,,,,,,0.0
MV.MBBY..HHE,,,,,,,,0.0
MV.MBGB..HHZ,,,,,,,,0.0
MV.MBGB..HHN,,,,,,,,0.0
