,mean,std,min,25%,50%,75%,max,count
MV.MBWH..SHZ,,,,,,,,0.0
MV.MBLG..SHZ,,,,,,,,0.0
MV.MBRY..BHZ,,,,,,,,0.0
MV.MBRY..BHN,,,,,,,,0.0
MV.MBRY..BHE,,,,,,,,0.0
MV.MBSS..SHZ,,,,,,,,0.0
MV.MBBY..BHN,,,,,,,,0.0
MV.MBBY..BHE,,,,,,,,0.0
MV.MBGB..BHZ,,,,,,,,0.0
MV.MBGB..BHN,,,,,,,,0.0
MV.MBGB..BHE,,,,,,,,0.0
MV.MBMH..SHZ,,,,,,,,0.0
MV.MBMH..SHN,,,,,,,,0.0
MV.MBMH..SHE,,,,,,,,0.0
MV.MBBY..HHZ,0.8706017008746914,0.8077263892238429,0.2043298768161571,0.46052250801707906,0.634168529524446,0.992649271676489,7.451282344912557,181.0
MV.MBBY..HHN,1.1724071651677375,0.659971759596453,0.35207785823215754,0.6957735207535504,0.9886042232188098,1.4429141756656256,3.848686833007121,180.0
MV.MBBY..HHE,1.126735181685987,0.7022537222707858,0.27717806254246957,0.6330757318315243,0.9325076880614814,1.3883752864985541,4.6605568342648125,180.0
MV.MBGB..HHZ,0.6805645198876891,0.38357729932386403,0.1568383648009259,0.4857533463471198,0.599886224276085,0.7858897968535354,2.825465727148288,194.0
MV.MBGB..HHN,1.330262185799407,0.5368661722240632,0.45272376914770784,0.9382787486707017,1.237832230133589,1.6505525838567308,3.1785495713153322,193.0
MV.MBGB..HHE,1.0072499877902896,0.6478539698325332,0.25266979224066516,0.6211820844185847,0.8848339990579728,1.2087234240114797,5.358630315538829,194.0
MV.MBGH..HHZ,1.5522212798450516,1.1261364763489106,0.31843470966673404,0.7883124470055649,1.0903905846895354,2.1120290442017744,6.604116479544036,185.0
MV.MBGH..HHN,2.4758724070329055,2.045370130910741,0.13029465129306816,1.108810809732693,1.7600729491653009,3.378277797210957,9.958023347901682,183.0
MV.MBGH..HHE,2.745901876591894,1.8475615116028352,0.10851053592724366,1.5413187978242653,2.075956640148143,3.369377343693609,9.253577576398133,181.0
MV.MBHA..HHZ,2.479128059572102,1.3124311297190243,0.48577250386909554,1.5611263329256015,2.179739964979338,3.0540442991469208,6.6555238519138,48.0
MV.MBHA..HHN,3.9375696866533283,1.6041597564732633,0.16236214112158304,2.8256313721613724,3.7695189120875945,4.682184565859941,8.250289392142944,46.0
MV.MBHA..HHE,3.0433467469336275,1.022596935447714,0.5989881285027822,2.418150440529664,2.8281337479917354,3.6328259859786693,5.533888969065476,47.0
MV.MBLG..HHZ,1.3160521672150156,0.7955447615856843,0.10530407712939749,0.8030334906887255,1.1244589566287926,1.5515073297268855,5.095083167983115,163.0
MV.MBLG..HHN,1.726248625613065,0.966137779891884,0.10367903964013095,1.0931354542696943,1.4321703267086658,2.095225479185399,5.815840967659017,156.0
MV.MBLG..HHE,0.9324184272658603,0.5424065825237664,0.11728513580943542,0.5719623325772171,0.7922916965952786,1.1293642166494577,3.571746299117903,157.0
MV.MBLY..HHZ,1.7750711261014025,1.30432957784178,0.9000722580086147,1.1439557704692302,1.3202762066550455,1.813293622711825,6.5556095655320314,17.0
MV.MBLY..HHN,3.2454783114410053,1.1637202760418348,0.13605616925406194,2.4783581446264993,2.9501282358862113,4.008527696680263,6.052749811526359,34.0
MV.MBLY..HHE,2.8094585498152695,1.3906468006931676,0.16579493088126032,2.2420788125529185,2.9176964040446447,3.649784855360154,6.724411307964487,41.0
