,mean,std,min,25%,50%,75%,max,count
MV.MBWH..SHZ,,,,,,,,0.0
MV.MBLG..SHZ,,,,,,,,0.0
MV.MBRY..BHZ,,,,,,,,0.0
MV.MBRY..BHN,,,,,,,,0.0
MV.MBRY..BHE,,,,,,,,0.0
MV.MBSS..SHZ,,,,,,,,0.0
MV.MBBY..BHN,,,,,,,,0.0
MV.MBBY..BHE,,,,,,,,0.0
MV.MBGB..BHZ,,,,,,,,0.0
MV.MBGB..BHN,,,,,,,,0.0
MV.MBGB..BHE,,,,,,,,0.0
MV.MBMH..SHZ,,,,,,,,0.0
MV.MBMH..SHN,,,,,,,,0.0
MV.MBMH..SHE,,,,,,,,0.0
MV.MBBY..HHZ,1.0636992068809685,0.7669761591787936,0.14472860811568888,0.5007998589932013,0.7710176276514685,1.4760659301006762,3.9441634127866148,198.0
MV.MBBY..HHN,1.3583531355888554,0.8597813443297156,0.20585368066516618,0.6859097216150475,1.1253450979636361,1.8663386511070157,5.057934876941384,197.0
MV.MBBY..HHE,1.4991547909311267,1.13621519737596,0.21166630520313956,0.6713025315351806,1.044330902363364,2.0662525552722126,8.590641053762525,155.0
MV.MBGB..HHZ,0.789083379151267,0.7367378224092594,0.2482800414028619,0.4971802998402764,0.6765061149173104,0.9191935719806554,8.213672418392296,135.0
MV.MBGB..HHN,1.396871772334339,0.585007152209605,0.4517447019580454,0.9461862804248371,1.3196981511778074,1.7414416525760554,3.3342761041830933,140.0
MV.MBGB..HHE,0.8342753067344255,0.4224381395630902,0.18063073494326856,0.5163598615483925,0.7185285370707218,1.1068461740422626,2.369111382518615,139.0
MV.MBGH..HHZ,1.108954128309053,0.5030801009641894,0.24185411716377408,0.7559493679910214,0.9883969912690174,1.356704587507189,2.985375942893934,202.0
MV.MBGH..HHN,1.8194429038263016,0.8303834414893095,0.34620803322874305,1.1646467555302076,1.7415119299729058,2.372869659005305,4.70701736351238,199.0
MV.MBGH..HHE,1.8613374012419834,0.8458874135830776,0.45731840534793916,1.28101500931799,1.7378531006638704,2.3335302774404845,5.382560851863682,200.0
MV.MBHA..HHZ,2.5705717772375594,1.2927856364030823,0.22665479160583024,1.7279143973409496,2.227043872946501,2.9542580163124357,9.314457714161525,157.0
MV.MBHA..HHN,4.245562200740654,1.728437227558514,0.4743740079993085,3.058088013980262,3.809454327941601,5.010910469029849,9.396748128162146,155.0
MV.MBHA..HHE,3.4035733781538497,1.3758724980026498,0.452870050312379,2.5080615505338297,3.0181355325272694,4.158491122995693,9.343324838604595,154.0
MV.MBLG..HHZ,1.3221216449046977,0.6997898033446487,0.21268157822543693,0.7638405794458841,1.1819528280133065,1.6542410065252926,3.5739648268374413,183.0
MV.MBLG..HHN,1.7030499049512768,0.9627829920469946,0.37508663088439537,0.9456904058372546,1.4083995196509336,2.2793195799197163,5.046475000348001,183.0
MV.MBLG..HHE,1.9107923871210537,1.2461635824520416,0.35565338364006843,0.9804313178157191,1.474863864423737,2.5141454306634667,6.613369304241226,184.0
MV.MBLY..HHZ,1.4469343006468929,0.5620405334202084,0.6899614471021398,1.0980265785770398,1.3286864161274008,1.6310590173273396,4.265406728190222,68.0
MV.MBLY..HHN,2.278514324679786,0.7354271394352576,1.2178635257950214,1.7928519692096663,2.0518880711325873,2.6255189397113305,4.893530494402241,75.0
MV.MBLY..HHE,2.2961680490666536,0.676504361114391,1.3314890622457858,1.8785986808327886,2.117548925488904,2.578324166277542,4.890548311141359,75.0
