,mean,std,min,25%,50%,75%,max,count
MV.MBWH..SHZ,,,,,,,,0.0
MV.MBLG..SHZ,,,,,,,,0.0
MV.MBRY..BHZ,,,,,,,,0.0
MV.MBRY..BHN,,,,,,,,0.0
MV.MBRY..BHE,,,,,,,,0.0
MV.MBSS..SHZ,,,,,,,,0.0
MV.MBBY..BHN,,,,,,,,0.0
MV.MBBY..BHE,,,,,,,,0.0
MV.MBGB..BHZ,,,,,,,,0.0
MV.MBGB..BHN,,,,,,,,0.0
MV.MBGB..BHE,,,,,,,,0.0
MV.MBMH..SHZ,,,,,,,,0.0
MV.MBMH..SHN,,,,,,,,0.0
MV.MBMH..SHE,,,,,,,,0.0
MV.MBBY..HHZ,1.6645896370379085,1.0854355555608566,0.5124156681714639,1.0419032656059404,1.2992460258088312,1.8930643308990993,8.238696352343943,238.0
MV.MBBY..HHN,2.1601137828425907,1.2816567838109936,0.6269604848325161,1.3904104105773585,1.8389948911362206,2.455786497642519,8.410207869450533,239.0
MV.MBBY..HHE,2.0952361077036428,1.313396598581811,0.47164995558001865,1.3188132974146354,1.769650743482358,2.3026258023117863,8.653563240876526,239.0
MV.MBGB..HHZ,1.5100257384392228,0.7188510716719141,0.46881168604589785,1.0811581737256093,1.3820300806677654,1.7661957440084994,5.8389414540474895,251.0
MV.MBGB..HHN,2.8192530798435413,1.1220816805724565,0.8060445128774264,1.9982007439034617,2.6817770160952588,3.5566825726117686,5.7585486684771485,252.0
MV.MBGB..HHE,1.3519761708702904,0.6530698625379995,0.4057980216472214,0.9336237967759868,1.218896128145817,1.6276482267523262,6.299865153323364,248.0
MV.MBGH..HHZ,2.122072438519626,0.9837370297591592,0.7436715176382578,1.555686549047621,1.8981388727987052,2.4669137159699988,8.8475414074235,256.0
MV.MBGH..HHN,3.442581205192748,1.6154468459266875,1.0352897360136855,2.2906268198253814,3.029010766032437,4.259387666506806,9.10894331490879,255.0
MV.MBGH..HHE,3.589497899107435,1.5086895433763212,0.968152951859638,2.5196296451072495,3.3111554681450355,4.311028483940933,8.648949391741109,253.0
MV.MBHA..HHZ,5.726609812103722,1.8025084347993838,1.5580373222423813,4.28002849097299,5.733158751002289,7.030657142232112,9.914818066250279,187.0
MV.MBHA..HHN,7.39579408530209,1.6517495761683312,2.3306465051325858,6.210500145327597,7.358222529843841,8.77494001792011,9.861528477563848,107.0
MV.MBHA..HHE,6.753675403332445,1.7110563025448013,2.6054275367904043,5.8400348263460025,6.731317291483028,8.046419415269467,9.920905555905403,157.0
MV.MBLG..HHZ,2.6113544593424116,1.3479567213859756,0.6129871467081687,1.8726600825622564,2.3198620915822254,3.037472137482808,9.849053941441564,241.0
MV.MBLG..HHN,3.071943620023195,1.479218887665354,0.643358873826056,2.1644151140792998,2.778993489891637,3.4899585296117275,9.528003067522363,237.0
MV.MBLG..HHE,1.7587675263525264,0.9884967758204506,0.3834944948418451,1.1817274094627925,1.5426818722286266,1.9904676814032207,6.940047046050013,243.0
MV.MBLY..HHZ,,,,,,,,0.0
MV.MBLY..HHN,,,,,,,,0.0
MV.MBLY..HHE,,,,,,,,0.0
MV.MBRV..EHZ,,,,,,,,0.0
MV.MBRY..HHZ,2.1723952251848533,0.9653237062986213,0.5995156252406502,1.4494138847439009,2.0648806541581948,2.657813975970406,6.6429398439525364,244.0
MV.MBRY..HHN,4.378809561471646,1.9030320763419974,1.063017256671179,2.917367711244493,4.030779619096274,5.425349555094312,9.962900311664287,238.0
