,mean,std,min,25%,50%,75%,max,count
MV.MBWH..SHZ,0.4947511842651519,0.18163671372492715,0.15345916864330766,0.36350153375040145,0.47453581084805385,0.5826603436129266,1.5980738855945467,238.0
MV.MBLG..SHZ,1.7283168206767656,0.7794050291246293,0.47710423491164444,1.1607814536434746,1.7127272174809116,2.085117219125727,4.124868349445947,45.0
MV.MBRY..BHZ,0.9234833033765412,0.5487177461107662,0.14801061173795463,0.6878791748536729,0.9000650157060335,1.113354371728398,4.855462974140814,157.0
MV.MBRY..BHN,2.190023483316896,1.0355571647495811,0.18595012639157377,1.636912471646748,2.0093374166927767,2.4758053363819625,5.765249582400324,162.0
MV.MBRY..BHE,2.0253566590725387,0.924850319053807,0.19918425614502272,1.4509729014729418,1.8666317226332643,2.413239202345723,5.542503497101016,161.0
MV.MBSS..SHZ,1.0702202242596748,0.5989747118776801,0.24501327450884822,0.7457616970070085,0.9745473553310771,1.3495762679879906,4.683629442203298,82.0
MV.MBBY..BHN,,,,,,,,0.0
MV.MBBY..BHE,,,,,,,,0.0
MV.MBGB..BHZ,0.6544599277722437,0.5505018723927527,0.10658659049709855,0.5233019214661281,0.6047268325826294,0.7225238520962745,8.548426642135114,230.0
MV.MBGB..BHN,1.32336667927614,0.36976634624279875,0.37102749013333425,1.1115774397363665,1.2858707159463498,1.51032558563181,3.749171910377924,238.0
MV.MBGB..BHE,1.2931492689293957,0.503815796949221,0.32879162895423425,1.0719029040145536,1.2340884553994051,1.4563956571782088,7.159579890005061,238.0
MV.MBMH..SHZ,,,,,,,,0.0
MV.MBMH..SHN,,,,,,,,0.0
MV.MBMH..SHE,,,,,,,,0.0
MV.MBBY..HHZ,0.3490799236219567,0.111784972843234,0.10082340091902428,0.27975288333628745,0.34658136229254743,0.41329104247913206,0.6751451780268495,154.0
MV.MBBY..HHN,0.530947907579106,0.18708661456335493,0.1751612544411139,0.4320661117265192,0.5277901649134757,0.626804278298923,1.359338595635687,153.0
MV.MBBY..HHE,0.546275973388091,0.18344988874678153,0.1729424302061266,0.43981228515663423,0.54163855618962,0.6542979134237322,1.1632429692325161,152.0
MV.MBGB..HHZ,,,,,,,,0.0
MV.MBGB..HHN,,,,,,,,0.0
MV.MBGB..HHE,,,,,,,,0.0
MV.MBGH..HHZ,,,,,,,,0.0
